,experiment_name,model_name,score
65,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,2)",0.05570
66,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,3)",0.05570
67,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,4)",0.05570
68,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,5)",0.05570
69,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(3,3)",0.05570
70,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(3,4)",0.05570
71,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(3,5)",0.05570
72,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(4,4)",0.05570
73,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(4,5)",0.05570
74,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(5,5)",0.05570
75,ud_pipe_nazev_anotace_stopwords,fasttext_100_50,0.05505
76,ud_pipe_czech_text,word2vec_100_50,0.05501
77,ud_pipe_nazev_anotace_stopwords,fasttext_100_10,0.05475
78,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_5,0.05450
79,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_50,0.05411
80,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_5,0.05409
81,ud_pipe_czech_text,doc2vec_300_150,0.05355
82,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_10,0.05323
83,ud_pipe_nazev_anotace_stopwords,fasttext_100_5,0.05317
84,ud_pipe_czech_text,doc2vec_300_100,0.05284
85,ud_pipe_nazev_anotace_stopwords,word2vec_50_5,0.05220
86,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_25,0.05167
87,ud_pipe_nazev_anotace_stopwords,word2vec_50_10,0.05143
88,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_50,0.05090
89,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_5,0.05064
90,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_25,0.05042
91,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_10,0.05039
92,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_5,0.05017
93,ud_pipe_czech_text,doc2vec_300_50,0.04975
94,ud_pipe_nazev_anotace_stopwords,word2vec_50_50,0.04916
95,ud_pipe_nazev_anotace_stopwords,word2vec_50_25,0.04895
96,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_25,0.04794
97,ud_pipe_czech_text,word2vec_50_10,0.04695
98,ud_pipe_czech_text,word2vec_50_50,0.04648
99,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_10,0.04627
100,ud_pipe_czech_text,doc2vec_200_150,0.04623
101,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_50,0.04621
102,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_10,0.04582
103,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_25,0.04558
104,ud_pipe_czech_text,word2vec_50_100,0.04500
105,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_50,0.04499
106,ud_pipe_czech_text,doc2vec_200_100,0.04497
107,ud_pipe_nazev_anotace_stopwords,doc2vec_200_50,0.04486
108,ud_pipe_nazev_anotace_stopwords,doc2vec_200_25,0.04481
109,ud_pipe_czech_text,doc2vec_200_50,0.04412
110,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_10,0.04398
111,ud_pipe_czech_text,word2vec_50_25,0.04396
112,ud_pipe_nazev_anotace_stopwords,fasttext_50_50,0.04363
113,d2v_w2v_kwords_nolemma,"tf-idf_(1,1)",0.04332
114,d2v_w2v_kwords_nolemma,"tf-idf_(1,2)",0.04332
115,d2v_w2v_kwords_nolemma,"tf-idf_(1,3)",0.04332
116,d2v_w2v_kwords_nolemma,"tf-idf_(1,4)",0.04332
117,d2v_w2v_kwords_nolemma,"tf-idf_(1,5)",0.04332
118,d2v_w2v_kwords_nolemma,"tf-idf_(2,2)",0.04332
119,d2v_w2v_kwords_nolemma,"tf-idf_(2,3)",0.04332
120,d2v_w2v_kwords_nolemma,"tf-idf_(2,4)",0.04332
121,d2v_w2v_kwords_nolemma,"tf-idf_(2,5)",0.04332
122,d2v_w2v_kwords_nolemma,"tf-idf_(3,3)",0.04332
123,d2v_w2v_kwords_nolemma,"tf-idf_(3,4)",0.04332
124,d2v_w2v_kwords_nolemma,"tf-idf_(3,5)",0.04332
125,d2v_w2v_kwords_nolemma,"tf-idf_(4,4)",0.04332
126,d2v_w2v_kwords_nolemma,"tf-idf_(4,5)",0.04332
127,d2v_w2v_kwords_nolemma,"tf-idf_(5,5)",0.04332
128,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_5,0.04259
129,ud_pipe_nazev_anotace_stopwords,fasttext_50_25,0.04249
130,ud_pipe_nazev_anotace_stopwords,fasttext_50_5,0.04205
131,ud_pipe_nazev_anotace_stopwords,doc2vec_100_50,0.04195
132,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_25,0.04160
133,ud_pipe_czech_text,doc2vec_300_10,0.04156
134,ud_pipe_nazev_anotace_stopwords,word2vec_25_10,0.04132
135,ud_pipe_nazev_anotace_stopwords,word2vec_25_5,0.04113
136,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_5,0.04100
137,ud_pipe_czech_text,doc2vec_100_150,0.04086
138,ud_pipe_czech_text,doc2vec_100_100,0.04084
139,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_10,0.04075
140,ud_pipe_nazev_anotace_stopwords,fasttext_50_10,0.04060
141,ud_pipe_czech_text,word2vec_25_10,0.04043
142,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_50,0.04023
143,ud_pipe_czech_text,word2vec_25_25,0.04020
144,ud_pipe_nazev_anotace_stopwords,word2vec_25_25,0.04018
145,ud_pipe_czech_text,doc2vec_100_50,0.03999
146,ud_pipe_czech_text,word2vec_25_50,0.03993
147,ud_pipe_nazev_anotace_stopwords,word2vec_25_50,0.03965
148,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_25,0.03954
149,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_5,0.03949
150,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_100_50,0.03909
151,ud_pipe_nazev_anotace_stopwords,doc2vec_200_10,0.03875
152,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_50,0.03860
153,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_25,0.03855
154,ud_pipe_czech_text,word2vec_25_100,0.03848
155,ud_pipe_nazev_anotace_stopwords,doc2vec_100_25,0.03802
156,ud_pipe_nazev_anotace_stopwords,fasttext_25_5,0.03733
157,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_50,0.03706
158,ud_pipe_czech_text,doc2vec_50_100,0.03706
159,ud_pipe_czech_text,doc2vec_50_150,0.03661
160,ud_pipe_czech_text,doc2vec_200_10,0.03639
161,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_10,0.03638
162,ud_pipe_nazev_anotace_stopwords,fasttext_25_10,0.03616
163,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_10,0.03608
164,ud_pipe_nazev_anotace_stopwords,fasttext_25_25,0.03601
165,ud_pipe_nazev_anotace_stopwords,fasttext_25_50,0.03526
166,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_50_50,0.03523
167,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_5,0.03509
168,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_5,0.03487
169,ud_pipe_nazev_anotace_stopwords,doc2vec_100_10,0.03476
170,ud_pipe_nazev_anotace_stopwords,doc2vec_50_50,0.03464
171,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_200_25,0.03406
172,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_200_50,0.03401
173,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_25_50,0.03328
174,ud_pipe_czech_text,doc2vec_50_50,0.03316
175,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_25_50,0.03257
176,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_25_10,0.03247
177,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_100_25,0.03232
178,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_25_25,0.03222
179,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_25_25,0.03197
180,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_50_25,0.03191
181,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_25_50,0.03183
182,ud_pipe_nazev_anotace_stopwords,doc2vec_50_25,0.03157
183,ud_pipe_nazev_anotace_stopwords,doc2vec_100_5,0.03154
184,ud_pipe_czech_text,doc2vec_25_150,0.03147
185,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_5,0.03130
186,ud_pipe_nazev_anotace_stopwords,doc2vec_200_5,0.03120
187,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_25_10,0.03097
188,ud_pipe_czech_text,doc2vec_25_100,0.03045
189,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_100_10,0.03041
190,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_25_10,0.03040
191,ud_pipe_nazev_anotace_stopwords,doc2vec_25_50,0.03012
192,ud_pipe_czech_text,doc2vec_100_10,0.03010
193,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_25_5,0.02936
194,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_25_5,0.02918
195,ud_pipe_czech_text,doc2vec_25_50,0.02876
196,tf_w2v_d2v_fast_eng_n_a_kwords_2,doc2vec_50_10,0.02869
