,experiment_name,model_name,score
40,ud_pipe_nazev_anotace_stopwords,fasttext_200_10,0.05821
41,ud_pipe_czech_text,word2vec_100_10,0.05799
42,ud_pipe_nazev_anotace_stopwords,fasttext_200_50,0.05729
43,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_50,0.05674
44,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_25,0.05641
45,ud_pipe_nazev_anotace_stopwords,word2vec_100_10,0.05616
46,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_5,0.05607
47,ud_pipe_nazev_anotace_stopwords,fasttext_200_5,0.05561
48,ud_pipe_czech_text,word2vec_100_25,0.05558
49,ud_pipe_czech_text,word2vec_100_100,0.05530
50,ud_pipe_nazev_anotace_stopwords,word2vec_100_5,0.05525
51,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_5,0.05521
52,ud_pipe_nazev_anotace_stopwords,word2vec_100_25,0.05490
53,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_25,0.05451
54,ud_pipe_nazev_anotace_stopwords,word2vec_100_50,0.05449
55,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_5,0.05400
56,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_50,0.05396
57,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_50,0.05343
58,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_10,0.05299
59,ud_pipe_czech_text,word2vec_100_50,0.05289
60,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_50,0.05239
61,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_10,0.05216
62,ud_pipe_nazev_anotace_stopwords,fasttext_100_25,0.05191
63,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_50,0.05186
64,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_25,0.05184
65,ud_pipe_czech_text,doc2vec_300_150,0.05176
